RadioRA 2 Integration Report,,,,,,,
,,,,,,,
Device Room, Device Location, Device name, Model, INTEGRATION ID, Component, Component Number, Name
,,,,,,,
Equipment Room, Main Repeater 001, Enclosure Device 001, RR-MAIN-REP-WH,1,,,
, , , , , Button 1,1, 
, , , , , Button 2,2, 
, , , , , Button 3,3, 
, , , , , Button 4,4, 
, , , , , Button 5,5, 
, , , , , Button 6,6, 
, , , , , Button 7,7, 
, , , , , Button 8,8, 
, , , , , Button 9,9, 
, , , , , Button 10,10, 
, , , , , Button 11,11, 
, , , , , Button 12,12, 
, , , , , Button 13,13, 
, , , , , Button 14,14, 
, , , , , Button 15,15, 
, , , , , Button 16,16, 
, , , , , Button 17,17, 
, , , , , Button 18,18, 
, , , , , Button 19,19, 
, , , , , Button 20,20, 
, , , , , Button 21,21, 
, , , , , Button 22,22, 
, , , , , Button 23,23, 
, , , , , Button 24,24, 
, , , , , Button 25,25, 
, , , , , Button 26,26, 
, , , , , Button 27,27, 
, , , , , Button 28,28, 
, , , , , Button 29,29, 
, , , , , Button 30,30, 
, , , , , Button 31,31, 
, , , , , Button 32,32, 
, , , , , Button 33,33, 
, , , , , Button 34,34, 
, , , , , Button 35,35, 
, , , , , Button 36,36, 
, , , , , Button 37,37, 
, , , , , Button 38,38, 
, , , , , Button 39,39, 
, , , , , Button 40,40, 
, , , , , Button 41,41, 
, , , , , Button 42,42, 
, , , , , Button 43,43, 
, , , , , Button 44,44, 
, , , , , Button 45,45, 
, , , , , Button 46,46, 
, , , , , Button 47,47, 
, , , , , Button 48,48, 
, , , , , Button 49,49, 
, , , , , Button 50,50, 
, , , , , Button 51,51, 
, , , , , Button 52,52, 
, , , , , Button 53,53, 
, , , , , Button 54,54, 
, , , , , Button 55,55, 
, , , , , Button 56,56, 
, , , , , Button 57,57, 
, , , , , Button 58,58, 
, , , , , Button 59,59, 
, , , , , Button 60,60, 
, , , , , Button 61,61, 
, , , , , Button 62,62, 
, , , , , Button 63,63, 
, , , , , Button 64,64, 
, , , , , Button 65,65, 
, , , , , Button 66,66, 
, , , , , Button 67,67, 
, , , , , Button 68,68, 
, , , , , Button 69,69, 
, , , , , Button 70,70, 
, , , , , Button 71,71, 
, , , , , Button 72,72, 
, , , , , Button 73,73, 
, , , , , Button 74,74, 
, , , , , Button 75,75, 
, , , , , Button 76,76, 
, , , , , Button 77,77, Away Mode
, , , , , Button 78,78, Goodnight
, , , , , Button 79,79, Welcome
, , , , , Button 80,80, Away Scene
, , , , , Button 81,81, 
, , , , , Button 82,82, Away Mode
, , , , , Button 83,83, Goodnight
, , , , , Button 84,84, Welcome
, , , , , Button 85,85, Away Scene
, , , , , Button 86,86, 
, , , , , Button 87,87, Away Mode
, , , , , Button 88,88, Goodnight
, , , , , Button 89,89, Welcome
, , , , , Button 90,90, Away Scene
, , , , , Button 91,91, 
, , , , , Button 92,92, Away Mode
, , , , , Button 93,93, Goodnight
, , , , , Button 94,94, Welcome
, , , , , Button 95,95, Away Scene
, , , , , Button 96,96, 
, , , , , Button 97,97, 
, , , , , Button 98,98, Ext. Flash
, , , , , Button 99,99, Int. Full
, , , , , Button 100,100, Emergency
, , , , , Led 1,101,
, , , , , Led 2,102,
, , , , , Led 3,103,
, , , , , Led 4,104,
, , , , , Led 5,105,
, , , , , Led 6,106,
, , , , , Led 7,107,
, , , , , Led 8,108,
, , , , , Led 9,109,
, , , , , Led 10,110,
, , , , , Led 11,111,
, , , , , Led 12,112,
, , , , , Led 13,113,
, , , , , Led 14,114,
, , , , , Led 15,115,
, , , , , Led 16,116,
, , , , , Led 17,117,
, , , , , Led 18,118,
, , , , , Led 19,119,
, , , , , Led 20,120,
, , , , , Led 21,121,
, , , , , Led 22,122,
, , , , , Led 23,123,
, , , , , Led 24,124,
, , , , , Led 25,125,
, , , , , Led 26,126,
, , , , , Led 27,127,
, , , , , Led 28,128,
, , , , , Led 29,129,
, , , , , Led 30,130,
, , , , , Led 31,131,
, , , , , Led 32,132,
, , , , , Led 33,133,
, , , , , Led 34,134,
, , , , , Led 35,135,
, , , , , Led 36,136,
, , , , , Led 37,137,
, , , , , Led 38,138,
, , , , , Led 39,139,
, , , , , Led 40,140,
, , , , , Led 41,141,
, , , , , Led 42,142,
, , , , , Led 43,143,
, , , , , Led 44,144,
, , , , , Led 45,145,
, , , , , Led 46,146,
, , , , , Led 47,147,
, , , , , Led 48,148,
, , , , , Led 49,149,
, , , , , Led 50,150,
, , , , , Led 51,151,
, , , , , Led 52,152,
, , , , , Led 53,153,
, , , , , Led 54,154,
, , , , , Led 55,155,
, , , , , Led 56,156,
, , , , , Led 57,157,
, , , , , Led 58,158,
, , , , , Led 59,159,
, , , , , Led 60,160,
, , , , , Led 61,161,
, , , , , Led 62,162,
, , , , , Led 63,163,
, , , , , Led 64,164,
, , , , , Led 65,165,
, , , , , Led 66,166,
, , , , , Led 67,167,
, , , , , Led 68,168,
, , , , , Led 69,169,
, , , , , Led 70,170,
, , , , , Led 71,171,
, , , , , Led 72,172,
, , , , , Led 73,173,
, , , , , Led 74,174,
, , , , , Led 75,175,
, , , , , Led 76,176,
, , , , , Led 77,177,
, , , , , Led 78,178,
, , , , , Led 79,179,
, , , , , Led 80,180,
, , , , , Led 81,181,
, , , , , Led 82,182,
, , , , , Led 83,183,
, , , , , Led 84,184,
, , , , , Led 85,185,
, , , , , Led 86,186,
, , , , , Led 87,187,
, , , , , Led 88,188,
, , , , , Led 89,189,
, , , , , Led 90,190,
, , , , , Led 91,191,
, , , , , Led 92,192,
, , , , , Led 93,193,
, , , , , Led 94,194,
, , , , , Led 95,195,
, , , , , Led 96,196,
, , , , , Led 97,197,
, , , , , Led 98,198,
, , , , , Led 99,199,
, , , , , Led 100,200,
,,,,,,,
Garage, Garage 2, Device 001, RR-VCRX-WH,27,,,
, , , , , Button 1,1, 
, , , , , Button 2,2, 
, , , , , Button 3,3, 
, , , , , Button 4,4, 
, , , , , Button 5,5, 
, , , , , Button 6,6, 
, , , , , Led 1,81,
, , , , , Led 2,82,
, , , , , Led 3,83,
, , , , , Led 4,84,
, , , , , Led 5,85,
, , , , , Led 6,86,
, , , , CCI 6,31,,
, , , , CCI 7,32,,
, , , , CCI 8,33,,
, , , , CCI 9,34,,
,,,,,,,
Kitchen, Kitchen, KP L (4), RRD-W6BRL-WH,28,,,
, , , , , Button 1,1, Dining
, , , , , Button 2,2, Cans
, , , , , Button 3,3, Pendants
, , , , , Button 4,4, Family
, , , , , Button 5,5, Outdoor
, , , , , Button 6,6, All Off
, , , , , Button 18,18, 
, , , , , Button 19,19, 
, , , , , Led 1,81,
, , , , , Led 2,82,
, , , , , Led 3,83,
, , , , , Led 4,84,
, , , , , Led 5,85,
, , , , , Led 6,86,
,,,,,,,
Kitchen, Kitchen, KP R (5), RRD-W6BRL-WH,29,,,
, , , , , Button 1,1, Kitchen
, , , , , Button 2,2, Cans
, , , , , Button 3,3, Pendants
, , , , , Button 4,4, U/C
, , , , , Button 5,5, GarageMud
, , , , , Button 6,6, Room Off
, , , , , Button 18,18, 
, , , , , Button 19,19, 
, , , , , Led 1,81,
, , , , , Led 2,82,
, , , , , Led 3,83,
, , , , , Led 4,84,
, , , , , Led 5,85,
, , , , , Led 6,86,
,,,,,,,
,,,,,,,
Room, ID,,,,,,
,,,,,,,
Deck,2,,,,,,
Dining Room,3,,,,,,
Equipment Room,4,,,,,,
Family Room,5,,,,,,
Garage,6,,,,,,
Mudroom,7,,,,,,
Entry,8,,,,,,
Kitchen,19,,,,,,
,,,,,,,
Zone Room, Zone Name, ID,,,,,
,,,,,,,
Deck, Bedroom Deck,11,,,,,
Deck, Deck,12,,,,,
Dining Room, Dining Cans,13,,,,,
Dining Room, Dining Pendants,14,,,,,
Family Room, Family Cans,15,,,,,
Garage, Garage Lights,16,,,,,
Mudroom, Mudroom Cans,17,,,,,
Entry, Front Entry Sconce,18,,,,,
Kitchen, Kitchen Cans,20,,,,,
Kitchen, Kitchen Island Pendants,21,,,,,
Kitchen, Kitchen U/C,22,,,,,
Garage,1,23,,,,,
Garage,2,24,,,,,
Garage,3,25,,,,,
Garage,4,26,,,,,
,,,,,,,
Timeclock, ID, Event, Event Index,,,,
,,,,,,,
Project Timeclock,10,,,,,,
,,,,,,,
Green Mode, ID, Mode Name, Step Number,,,,
,,,,,,,
Green Button Mode,9,,,,,,
, , Off,1,,,,
, , Green Mode,2,,,,